Dust-Radius\Longitude,-174,-168,-162,-156,-150,-144,-138,-132,-126,-120,-114,-108,-102,-96,-90,-84,-78,-72,-66,-60,-54,-48,-42,-36,-30,-24,-18,-12,-6,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180
1.55,0.216297192,0.207032867,0.199037265,0.194174253,0.239454678,0.253244545,0.265403132,0.272698697,0.241020979,0.241308846,0.212766274,0.196970403,0.175663052,0.157289953,0.201874245,0.153801592,0.15236903,0.170606476,0.165535216,0.161306433,0.153927785,0.16643222,0.16739107,0.168383451,0.166389933,0.179963429,0.196432553,0.175254065,0.140644421,0.145298395,0.158883031,0.158894214,0.179724896,0.18932604,0.195012299,0.222641838,0.227577712,0.254785792,0.224927172,0.208159269,0.217543208,0.257904006,0.272428894,0.268711745,0.236622888,0.240539398,0.186146034,0.177177815,0.178570906,0.262603096,0.191167744,0.17132496,0.178026415,0.206338234,0.231615072,0.199134915,0.211197749,0.207610522,0.199503456,0.210820395
1.65,0.194211695,0.202052293,0.213963111,0.251161102,0.223853966,0.229678087,0.230699881,0.230263089,0.213247263,0.21731603,0.216074327,0.210218786,0.208522408,0.186314714,0.213789515,0.239707408,0.180288276,0.137707829,0.147267923,0.16526795,0.17684345,0.141799708,0.181527239,0.183894269,0.197454679,0.219849043,0.177364169,0.175924611,0.156097168,0.163863994,0.142577386,0.131465765,0.147340731,0.156414307,0.167225524,0.173491954,0.174809122,0.151152553,0.164294172,0.180859226,0.180490218,0.180623708,0.155248088,0.168602252,0.197183034,0.37538868,0.243208543,0.218101783,0.225199714,0.223213223,0.173937149,0.174163571,0.150605575,0.140987852,0.141595318,0.140141426,0.157016056,0.160784568,0.156616656,0.167193916
1.7,0.287001766,0.297822506,0.28439164,0.304583187,0.268456185,0.296379284,0.323839431,0.342896261,0.317322969,0.324057776,0.314653764,0.286002843,0.24142814,0.226047123,0.284556925,0.302120044,0.232189412,0.261635702,0.225883727,0.231886484,0.231482951,0.199183128,0.263891051,0.246087463,0.247313762,0.246153431,0.213789311,0.199309615,0.161255413,0.170214393,0.178986076,0.16167207,0.187614832,0.213605932,0.235246141,0.267192664,0.259970292,0.216592916,0.23764312,0.295418946,0.311371885,0.307632419,0.303837516,0.298761741,0.318166978,0.486426454,0.289475985,0.24694196,0.273226019,0.255833868,0.236882774,0.287697523,0.245150938,0.221340825,0.203164738,0.206628016,0.258959057,0.233825172,0.209798645,0.242603955
1.75,0.334946925,0.336469974,0.359690336,0.426184434,0.393933332,0.394458883,0.373329052,0.400247383,0.383772189,0.390374223,0.395983243,0.379198681,0.383809523,0.36276214,0.525483728,0.410442115,0.311713841,0.316304986,0.27734745,0.503017786,0.399658315,0.251888866,0.424880818,0.459025582,0.432309302,0.448213188,0.363412113,0.374222184,0.273273132,0.273618604,0.235716686,0.197834576,0.244891694,0.289934643,0.355823025,0.407174955,0.398490621,0.3634292,0.418889107,0.511276477,0.520451833,0.543454717,0.528314811,0.552261048,0.552945246,0.718944061,0.488022339,0.440485354,0.426135516,0.433124745,0.36464447,0.411484162,0.352925995,0.321517813,0.268829125,0.272928571,0.395412802,0.32937365,0.317892638,0.313930108
1.8,0.489941262,0.568526996,0.494721659,0.501535967,0.443358656,0.456726438,0.426094622,0.452364274,0.464716724,0.466106293,0.482806145,0.491222501,0.496217428,0.473813395,0.602687316,0.607023412,0.346722676,0.555768425,0.384647501,0.59222512,0.660717856,0.294035902,0.517703222,0.613285949,0.54227811,0.511739213,0.398951386,0.396443067,0.279869043,0.381277234,0.366223037,0.276463329,0.38171635,0.416445845,0.433893099,0.428851621,0.457925483,0.436594036,0.50214932,0.575015384,0.619887088,0.733066941,0.739861339,0.64608632,0.714669337,0.839165562,0.548660187,0.498036871,0.562937865,0.578657563,0.529772166,0.642442124,0.449196528,0.430370295,0.382694926,0.350093598,0.602401811,0.544651889,0.456088491,0.452945194
1.85,0.591144348,0.690575529,0.63558523,0.731685818,0.746840204,0.763927346,0.671986611,0.655107981,0.774490439,0.836334076,0.757881958,0.767254198,0.763042217,0.561667026,0.714470568,0.697043306,0.422352122,0.613117935,0.493738539,0.644614471,0.636298325,0.319747904,0.529140071,0.641407925,0.569770245,0.550766367,0.456539921,0.47049425,0.387365556,0.507003504,0.423699112,0.451115727,0.573962952,0.567926272,0.745960528,0.671117805,0.727412795,0.704719489,0.652944311,0.829580656,0.776613816,0.935955232,0.948006876,0.795481383,0.818736434,1.040967536,0.722811886,0.579003738,0.707614579,0.769051349,0.614408174,0.723415089,0.57619271,0.523764829,0.467663739,0.50885769,0.780646671,0.655662341,0.521840274,0.591349245
1.9,0.600680079,0.909721662,0.819189448,0.90945437,0.829107691,0.787567632,0.707378232,0.696932448,0.796752038,0.792602765,0.68171163,0.733483313,0.713457699,0.608426428,0.776536958,0.720683937,0.535891859,0.660807031,0.525222532,0.659343276,0.671004773,0.367406497,0.61774776,0.766391534,0.715284682,0.712167783,0.586607818,0.528528016,0.401944471,0.531183563,0.481931076,0.413204533,0.530643514,0.553816302,0.743432111,0.698562509,0.838494625,0.87389183,0.76660381,1.092211078,0.939539577,1.176623743,1.04499899,0.853472978,0.928934554,1.132590488,0.747763422,0.623546897,0.732690753,0.893182241,0.733967771,0.881932849,0.71091761,0.580706167,0.565358715,0.592681046,0.935544306,0.802457929,0.592300193,0.711719364
1.95,0.659885123,1.062076105,0.926967337,1.029637918,1.15766581,0.996825398,0.868418373,0.890847748,1.12624822,1.113126444,0.927404678,0.966698726,0.904210495,0.762495949,0.8779824,0.819786282,0.672829933,0.774129245,0.600058775,0.733938831,0.747351519,0.405087884,0.683209163,0.837059096,0.808147552,0.81167484,0.815564061,0.678250056,0.562088016,0.757120076,0.731594261,0.688111398,0.845661642,0.728764916,0.855915306,1.042108396,0.959904093,1.043484464,1.008303002,1.33165918,1.048211478,1.304487496,1.099368665,1.05607864,1.220421409,1.105559628,1.158861251,0.765389682,0.844422786,1.046478786,0.825672243,1.008249044,0.79812745,0.579507907,0.630182935,0.64910564,0.922875893,0.860263431,0.604149413,0.775454665
2,0.742633949,1.140281893,0.974081597,1.046494199,1.247275874,1.045101713,0.917810758,0.895786695,1.180321821,1.201790902,0.987265844,1.126007189,0.915146779,0.8457991,0.975295397,0.861704382,0.786058434,0.768758676,0.690486085,0.778089359,0.796321773,0.450059931,0.706816134,0.863278498,0.785279299,0.793131826,0.861564612,0.8074145,0.640678353,0.765730698,0.742824744,0.677391842,0.777215901,0.731465839,0.853733583,1.082697722,0.978728822,1.148571557,1.096466004,1.302577131,1.106887606,1.247572895,1.103540082,1.113532233,1.270699727,1.194502627,1.222259735,0.838702026,0.859668189,1.042354781,0.84523687,1.158205714,0.869546732,0.62653887,0.624321334,0.661823711,0.904503917,0.851524084,0.674489851,0.808871415
2.05,0.779283207,1.269030804,1.024160018,1.080839835,1.293177555,1.115871395,1.023286944,1.096738373,1.212945821,1.189155272,1.045873116,1.116987664,0.861136054,0.837936371,0.93273236,0.878838641,0.760462772,0.806353448,0.673357129,0.816560855,0.927304128,0.535913665,0.75707369,0.898639027,0.828329093,0.78014203,0.871274901,0.737523073,0.613008099,0.800229512,0.774855025,0.672434662,0.715771122,0.699274867,0.924865976,1.104056925,1.057417561,1.240945423,1.241116662,1.275262596,1.137860388,1.217418067,1.124376938,1.194231874,1.47574542,1.067797323,1.466909526,0.891606672,0.823572121,1.06997607,0.934569887,1.17893029,0.887248186,0.672662282,0.698146675,0.654489679,0.938014067,0.909713704,0.762739989,0.876599235
